fold,n_productive,r2,rmse,mae,bias,spearman_r,spearman_p,zone_accuracy,direction_accuracy,n
1,11,-0.015154251777507177,0.5569417895953485,0.4906486689856236,-0.002056290319140725,0.1628347368197324,0.6323832327543555,0.2727272727272727,0.45454545454545453,11
2,15,0.02117626543740847,1.2365165333258568,0.7337183645250918,-0.2673003370682307,0.287545641725541,0.2987110698345735,0.4666666666666667,0.5333333333333333,15
3,11,-0.16285379691062007,1.85026277357113,1.0837498494209399,-0.712464805176393,0.1872165636406615,0.5814817819672717,0.45454545454545453,0.45454545454545453,11
4,10,-0.013565497837521923,0.9288068063744135,0.7498950754704321,-0.250828969195411,0.2400284074096988,0.5041572296106971,0.2,0.6,10
5,10,-0.3885829330082631,1.724860709238028,1.1247130464296924,-1.0497420103233297,0.5227987675648555,0.12102739408380091,0.7,0.5,10
