fold,n_val,meta_type,spatial_ridge_alpha,spatial_ridge_gamma,meta_cv_rmse_gp,meta_cv_rmse_ridge,note,r2,rmse,mae,bias,spearman_r,spearman_p,zone_accuracy,direction_accuracy,n
1,97,SpatialRidge,0.1,1.0,0.9495076352945454,0.9181288818011005,ok,-0.0166970590535076,1.5137759432597497,1.1465800580327372,-0.3614500410108979,0.12724259923614498,0.214235191961736,0.3402061855670103,0.5463917525773195,97
2,80,GP,0.1,1.0,0.9517419236482678,0.9289232954674462,ok,-0.40057860710792825,1.7885886389967833,1.1709228166637065,-0.843743701333376,-0.3656174958346563,0.0008530668653635753,0.4125,0.5,80
3,77,SpatialRidge,0.1,1.0,1.285675997896693,1.1793641732797395,ok,-0.043404022583377166,0.575506159312756,0.5143866852669328,-0.008657271126616593,-0.10147091777705285,0.3798843710261225,0.6753246753246753,0.5324675324675324,77
4,79,SpatialRidge,0.1,0.1,1.0576835802011193,1.0042147808203818,ok,-0.11794433251958392,1.3664242688493196,0.9044723482760211,-0.3919581637723212,0.08464816418440528,0.45826315128048956,0.4810126582278481,0.569620253164557,79
5,109,GP,0.1,1.0,1.183184724185493,1.1620593907298873,ok,-0.3005705251093935,0.6057225626142281,0.4994898934483337,-0.0776259449928312,-0.2544590885988113,0.007582756887455828,0.7339449541284404,0.3577981651376147,109
