lon,lat,precipitation
-0.67412,5.53327,2.9205334186553955
-0.67317,5.51695,2.9205334186553955
-0.6757,5.60358,3.1133410930633545
-0.66567,5.63232,3.1133410930633545
-0.66383,5.51502,2.9205334186553955
-0.64468,5.7106,3.334990978240967
-0.64502,5.7106,3.334990978240967
-0.65232,5.72207,3.334990978240967
-0.7025,5.68977,3.446699380874634
-0.6613,5.66622,3.3136179447174072
-0.73508,5.6898,3.446699380874634
-0.88812,5.6404,3.52243971824646
-1.14422,5.69202,3.80655574798584
-1.14332,5.6907,3.80655574798584
-1.139,5.68728,3.80655574798584
-1.13845,5.687,3.80655574798584
-1.13562,5.626,3.6755142211914062
-0.88012,5.62862,3.3863182067871094
-0.90615,5.7057,3.7288084030151367
-0.85062,5.75308,3.857072114944458
-0.85038,5.75305,3.857072114944458
-0.92862,5.71555,3.7288084030151367
-0.95533,5.66558,3.7417123317718506
-0.95508,5.66537,3.7417123317718506
-1.0458,5.6977,3.925473213195801
-1.07158,5.7187,3.925473213195801
-1.064,5.68258,3.925473213195801
-1.06427,5.68183,3.851252317428589
-1.05063,5.63352,3.851252317428589
-1.96992,5.6072,4.075474262237549
-1.289,5.18093,2.817786455154419
-1.28855,5.18055,2.817786455154419
-1.33015,5.2338,2.8912415504455566
-1.26178,5.16382,2.616889476776123
-1.26213,5.16333,2.616889476776123
-1.29295,5.11455,2.774986743927002
-0.61105,5.3551,2.3500678539276123
-0.648,5.38918,2.485138177871704
-0.6306,5.38732,2.102750062942505
-0.65743,5.37342,2.5458922386169434
-0.63803,5.35665,2.3500678539276123
-0.64453,5.37227,2.5458922386169434
-0.59522,5.3998,2.102750062942505
-0.58832,5.38672,2.439657211303711
-0.49192,5.50085,2.6663613319396973
-0.4918,5.50113,2.6663613319396973
-0.63643,5.45613,2.4521613121032715
-0.61268,5.41662,2.102750062942505
-0.5784,5.54408,2.9421327114105225
-0.76795,5.55542,3.2477407455444336
-0.74793,5.48335,3.0679259300231934
-0.7484,5.47672,3.0679259300231934
-0.84757,5.46947,3.2614941596984863
-0.86262,5.51088,3.286630868911743
-0.86892,5.47987,3.2614941596984863
